"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"Px1","FPC1.0-2H-WS-10P","133.8405mm","90.383mm","135.128mm","90.383mm","132.553mm","85.883mm","T","90.00","Header 10"
"Py1","FPC1.0-2H-WS-12P","133.8405mm","73.844mm","135.128mm","73.844mm","132.553mm","68.344mm","T","90.00","Header 12"
"Q1","SOT-23(SOT-23-3)","110.998mm","90.932mm","110.998mm","90.932mm","109.748mm","91.882mm","T","180.00","SS8050 Y1"
"R1","0603_R","116.967mm","96.52mm","116.967mm","96.52mm","116.967mm","95.75mm","T","90.00","47K次 (4702) ㊣1%"
"R2","0603_R","120.523mm","96.52mm","120.523mm","96.52mm","120.523mm","95.75mm","T","90.00","47K次 (4702) ㊣1%"
"R3","0603_R","124.079mm","96.52mm","124.079mm","96.52mm","124.079mm","95.75mm","T","90.00","47K次 (4702) ㊣1%"
"R4","0603_R","128.016mm","96.52mm","128.016mm","96.52mm","128.016mm","95.75mm","T","90.00","47K次 (4702) ㊣1%"
"R5","0603_R","115.189mm","96.52mm","115.189mm","96.52mm","115.189mm","95.75mm","T","90.00","47K次 (4702) ㊣1%"
"R6","0603_R","118.745mm","96.52mm","118.745mm","96.52mm","118.745mm","95.75mm","T","90.00","47K次 (4702) ㊣1%"
"R7","0603_R","122.301mm","96.52mm","122.301mm","96.52mm","122.301mm","95.75mm","T","90.00","47K次 (4702) ㊣1%"
"R8","0603_R","126.238mm","96.52mm","126.238mm","96.52mm","126.238mm","95.75mm","T","90.00","47K次 (4702) ㊣1%"
"R9","0603_R","129.794mm","96.52mm","129.794mm","96.52mm","129.794mm","95.75mm","T","90.00","270K次 (2703) ㊣1%"
"R10","0603_R","106.172mm","90.932mm","106.172mm","90.932mm","106.172mm","91.702mm","T","270.00","10K次 (1002) ㊣1%"
"R11","0603_R","108.077mm","90.932mm","108.077mm","90.932mm","108.077mm","90.162mm","T","90.00","100K次 (1003) ㊣1%"
"R12","0603_R","118.872mm","70.739mm","118.872mm","70.739mm","118.872mm","69.969mm","T","90.00","47K次 (4702) ㊣1%"
"R13","0603_R","120.777mm","70.739mm","120.777mm","70.739mm","120.777mm","69.969mm","T","90.00","10K次 (1002) ㊣1%"
"R14","0603_R","126.111mm","70.739mm","126.111mm","70.739mm","126.111mm","69.969mm","T","90.00","10K次 (1002) ㊣1%"
"R15","0603_R","110.736mm","86.614mm","110.736mm","86.614mm","111.506mm","86.614mm","T","180.00","220次 (2200) ㊣1%"
"R16","0603_R","110.736mm","84.836mm","110.736mm","84.836mm","111.506mm","84.836mm","T","180.00","220次 (2200) ㊣1%"
"U1","LQFP-44_10x10x08P","122.174mm","83.693mm","122.174mm","83.693mm","118.174mm","78.043mm","T","0.00","F44_Piano"

