"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C12","0603_C","365.887mm","17.6371mm","365.887mm","17.6371mm","366.657mm","17.6371mm","T","180.00","10pF (100) 5% 50V"
"C11","0603_C","365.887mm","15.8591mm","365.887mm","15.8591mm","366.657mm","15.8591mm","T","180.00","10pF (100) 5% 50V"
"C10","0603_C","365.887mm","14.0811mm","365.887mm","14.0811mm","366.657mm","14.0811mm","T","180.00","10pF (100) 5% 50V"
"C9","0603_C","365.887mm","12.3031mm","365.887mm","12.3031mm","366.657mm","12.3031mm","T","180.00","10pF (100) 5% 50V"
"C4","0603_C","134.366mm","17.7641mm","134.366mm","17.7641mm","135.136mm","17.7641mm","T","180.00","10pF (100) 5% 50V"
"C3","0603_C","134.366mm","15.9861mm","134.366mm","15.9861mm","135.136mm","15.9861mm","T","180.00","10pF (100) 5% 50V"
"C2","0603_C","134.366mm","14.2081mm","134.366mm","14.2081mm","135.136mm","14.2081mm","T","180.00","10pF (100) 5% 50V"
"C1","0603_C","134.366mm","12.4301mm","134.366mm","12.4301mm","135.136mm","12.4301mm","T","180.00","10pF (100) 5% 50V"
"P5","FPC1.0-2H-WS-8P","475.3435mm","10mm","476.631mm","10mm","474.056mm","6.5mm","T","90.00","Header 8"
"P6","FPC1.0-2H-WS-8P","4.5895mm","10mm","3.302mm","10mm","5.877mm","13.5mm","T","270.00","Header 8"

